Pablo César,Aimar Giordano,Pablo Aimar,1979-11-03,Argentina,Valencia
Vicente,Rodríguez Guillén,Vicente,1981-07-16,Spain,Valencia
Salvador,Ballesta Vialcho,Salva,1975-05-22,Spain,Valencia
John Alieu,Carew,John Carew,1979-09-05,Norway,Valencia
Juan Ginés,Sánchez Moreno,Juan Sánchez,1972-05-15,Spain,Valencia
Adrian,Bucurel Ilie,Adrian Ilie,1974-04-20,Romania,Valencia
Miguel Ángel,Ferrer Martínez,Mista,1978-11-12,Spain,Valencia
Daniel,Mallo Castro,Dani Mallo,1979-01-25,Spain,Deportivo la Coruna
José Francisco,Molina Jiménez,Molina,1970-08-08,Spain,Deportivo la Coruna
Nuno Herlander,Simões Espírito Santo,Nuno,1974-01-25,Portugal,Deportivo la Coruna
Joan,Capdevila i Méndez,Joan Capdevila,1978-02-03,Spain,Deportivo la Coruna
César Martín,Villar,César Martín,1977-04-03,Spain,Deportivo la Coruna
Donato,Gama da Silva,Donato,1962-12-30,Brazil,Deportivo la Coruna
Goran,Đorović,,1971-11-11,Serbia,Deportivo la Coruna
Héctor,Berenguel del Pino,Héctor,1974-10-11,Spain,Deportivo la Coruna
Hélder Marino,Rodrigues Cristóvão,Hélder,1971-03-21,Portugal,Deportivo la Coruna
Manuel Pablo,García Díaz,Manuel Pablo,1976-01-25,Spain,Deportivo la Coruna
Nourredine,Naybet,,1970-02-10,Morocco,Deportivo la Coruna
Enrique,Fernández Romero,Romero,1971-06-23,Spain,Deportivo la Coruna
José Emilio,Amavisca Gárate,José Amavisca,1971-06-19,Spain,Deportivo la Coruna
Djalma,Feitosa Dias,Djalminha,1970-12-09,Brazil,Deportivo la Coruna
Álvaro,Pedro Duscher,Aldo Duscher,1979-03-22,Argentina,Deportivo la Coruna
Emerson Moisés,Costa,Emerson,1972-04-12,Brazil,Deportivo la Coruna
Francisco,Escribá Segura,Fran,1969-07-14,Spain,Deportivo la Coruna
José Manuel,Colmenero Crespo,José Manuel,1973-11-29,Spain,Deportivo la Coruna
Mauro,da Silva Gomes,Mauro Silva,1968-01-12,Brazil,Deportivo la Coruna
Lionel Sebastián,Scaloni,Lionel Scaloni,1978-05-16,Argentina,Deportivo la Coruna
Sergio,González Soriano,Sergio,1976-11-10,Spain,Deportivo la Coruna
Juan Carlos,Valerón Santana,Juan Carlos Valerón,1975-06-17,Spain,Deportivo la Coruna
Víctor,Sánchez del Amo,Víctor,1976-02-23,Spain,Deportivo la Coruna
Diego,Tristán Herrera,Diego Tristán,1976-01-05,Spain,Deportivo la Coruna
Rudolphus,Antonius Makaay,Roy Makaay,1975-03-09,The Netherlands,Deportivo la Coruna
Walter Gerardo,Pandiani Urquiza,Walter Pandiani,1976-04-27,Uruguay,Deportivo la Coruna
